opp_id,payment_id,created_ts,amount_minor,method,bank,error_reason,error_group,is_subscription,cust_prior_payments,cust_prior_successes,cust_prior_method_match,cust_prior_failed_instrument,minutes_since_failure,merchant_baseline_success,merchant_volume,hour,weekday,contact_stale,natural_recovered
opp_gen_0000037,pay_gen_0000157,2026-01-01T20:48:38.450297+00:00,233051,card,ICICI,network_error,temporary,0,1,0,0,0,20.6,0.84,21000,20,3,1,0
opp_gen_0000038,pay_gen_0000174,2026-01-01T09:52:41.517389+00:00,168722,upi,KOTAK,network_error,temporary,0,1,0,0,0,4.7,0.84,21000,9,3,0,1
opp_gen_0000039,pay_gen_0000182,2026-01-01T16:09:31.826221+00:00,161232,upi,KOTAK,processing_error,temporary,0,1,0,0,0,43.5,0.84,21000,16,3,0,0
opp_gen_0000040,pay_gen_0000185,2026-01-01T10:53:49.000322+00:00,941622,upi,KOTAK,card_insufficient_funds,insufficient_funds,0,1,0,0,0,30.8,0.84,21000,10,3,0,1
opp_gen_0000041,pay_gen_0000188,2026-01-01T10:13:20.555672+00:00,116385,upi,HDFC,authentication_required,auth,0,1,0,0,0,28.3,0.91,9000,10,3,0,0
opp_gen_0000042,pay_gen_0000198,2026-01-01T20:55:35.384449+00:00,94400,netbanking,AXIS,card_expired,instrument,0,2,0,0,1,28.6,0.88,42000,20,3,0,0
opp_gen_0000043,pay_gen_0000206,2026-01-01T20:15:08.164968+00:00,2598318,netbanking,AXIS,authentication_required,auth,0,1,0,0,0,17.1,0.88,42000,20,3,0,0
opp_gen_0000044,pay_gen_0000208,2026-01-01T01:12:44.521208+00:00,2026695,card,AXIS,timeout,temporary,0,1,0,0,0,36.7,0.88,42000,1,3,0,0
opp_gen_0000045,pay_gen_0000221,2026-01-01T06:32:38.903871+00:00,65902,upi,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,11.6,0.84,21000,6,3,0,0
opp_gen_0000046,pay_gen_0000223,2026-01-01T03:55:48.027689+00:00,2329401,netbanking,AXIS,authentication_required,auth,0,1,0,0,0,35.8,0.91,9000,3,3,0,1
opp_gen_0000047,pay_gen_0000229,2026-01-01T14:35:34.024860+00:00,250599,card,HDFC,network_error,temporary,0,1,0,0,0,44.6,0.91,9000,14,3,0,0
opp_gen_0000048,pay_gen_0000232,2026-01-01T17:29:49.183255+00:00,67734,upi,HDFC,timeout,temporary,0,1,0,0,0,7.8,0.84,21000,17,3,0,0
opp_gen_0000049,pay_gen_0000233,2026-01-01T01:49:14.400379+00:00,2405069,netbanking,ICICI,authentication_required,auth,0,1,0,0,0,40.2,0.84,21000,1,3,0,0
opp_gen_0000050,pay_gen_0000236,2026-01-01T19:39:58.842760+00:00,304914,netbanking,SBI,authentication_required,auth,0,1,0,0,0,35.0,0.88,42000,19,3,0,1
opp_gen_0000051,pay_gen_0000251,2026-01-01T19:40:56.966300+00:00,340614,netbanking,ICICI,network_error,temporary,0,1,0,0,0,43.9,0.88,42000,19,3,0,1
opp_gen_0000052,pay_gen_0000254,2026-01-01T04:03:08.791995+00:00,375207,netbanking,SBI,invalid_card,instrument,0,1,0,0,0,35.1,0.84,21000,4,3,1,0
opp_gen_0000053,pay_gen_0000256,2026-01-01T17:51:41.938751+00:00,1534002,card,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,2.7,0.91,9000,17,3,0,1
opp_gen_0000054,pay_gen_0000258,2026-01-01T04:01:10.455689+00:00,552588,upi,HDFC,network_error,temporary,0,1,0,0,0,9.2,0.91,9000,4,3,0,1
opp_gen_0000055,pay_gen_0000262,2026-01-01T15:17:14.265349+00:00,88823,upi,HDFC,authentication_required,auth,0,1,0,0,0,10.2,0.88,42000,15,3,0,0
opp_gen_0000056,pay_gen_0000269,2026-01-01T16:51:48.235508+00:00,1105504,upi,ICICI,insufficient_funds,insufficient_funds,0,1,0,0,0,2.8,0.88,42000,16,3,0,0
opp_gen_0000057,pay_gen_0000272,2026-01-01T22:32:53.859875+00:00,933395,card,AXIS,insufficient_funds,insufficient_funds,0,2,1,0,0,21.9,0.84,21000,22,3,0,0
opp_gen_0000058,pay_gen_0000273,2026-01-01T19:17:23.882407+00:00,129294,upi,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,27.4,0.84,21000,19,3,0,0
opp_gen_0000059,pay_gen_0000281,2026-01-01T15:27:20.395598+00:00,131240,card,ICICI,network_error,temporary,0,1,0,0,0,26.3,0.91,9000,15,3,0,1
opp_gen_0000060,pay_gen_0000285,2026-01-02T00:11:16.401665+00:00,209930,netbanking,SBI,insufficient_funds,insufficient_funds,0,1,0,0,0,22.3,0.88,42000,0,4,0,1
opp_gen_0000061,pay_gen_0000298,2026-01-01T15:29:13.845323+00:00,126901,upi,ICICI,authentication_required,auth,0,2,1,0,0,9.2,0.91,9000,15,3,0,1
opp_gen_0000062,pay_gen_0000300,2026-01-01T05:06:56.304282+00:00,2543075,card,AXIS,network_error,temporary,1,1,0,0,0,32.9,0.91,9000,5,3,0,1
opp_gen_0000063,pay_gen_0000305,2026-01-01T08:35:05.757085+00:00,149115,upi,AXIS,gateway_error,temporary,0,1,0,0,0,4.1,0.88,42000,8,3,0,0
opp_gen_0000064,pay_gen_0000313,2026-01-01T23:28:19.549544+00:00,405254,card,KOTAK,card_insufficient_funds,insufficient_funds,0,1,0,0,0,38.3,0.88,42000,23,3,0,1
opp_gen_0000065,pay_gen_0000326,2026-01-01T23:42:13.683771+00:00,147793,card,ICICI,gateway_error,temporary,0,1,0,0,0,4.2,0.84,21000,23,3,0,0
opp_gen_0000066,pay_gen_0000343,2026-01-01T13:11:16.893242+00:00,391632,netbanking,ICICI,timeout,temporary,0,1,0,0,0,3.3,0.91,9000,13,3,0,1
opp_gen_0000067,pay_gen_0000352,2026-01-01T18:25:51.889325+00:00,57943,upi,ICICI,insufficient_funds,insufficient_funds,0,1,0,0,0,42.9,0.84,21000,18,3,0,0
opp_gen_0000068,pay_gen_0000354,2026-01-01T20:37:19.594358+00:00,100711,upi,AXIS,insufficient_funds,insufficient_funds,0,1,0,0,0,41.3,0.88,42000,20,3,0,0
opp_gen_0000069,pay_gen_0000364,2026-01-01T10:23:31.069974+00:00,271138,upi,KOTAK,card_insufficient_funds,insufficient_funds,0,1,0,0,0,40.5,0.88,42000,10,3,0,1
opp_gen_0000070,pay_gen_0000369,2026-01-01T18:15:33.538024+00:00,978669,card,SBI,processing_error,temporary,0,1,0,0,0,17.6,0.88,42000,18,3,0,1
opp_gen_0000071,pay_gen_0000375,2026-01-01T09:09:52.699992+00:00,300964,upi,HDFC,processing_error,temporary,0,1,0,0,0,40.9,0.84,21000,9,3,0,0
opp_gen_0000072,pay_gen_0000383,2026-01-01T03:46:57.231725+00:00,91440,netbanking,AXIS,card_blocked,instrument,0,1,0,0,0,10.0,0.88,42000,3,3,0,1
opp_gen_0000073,pay_gen_0000388,2026-01-01T23:14:01.621514+00:00,49937,netbanking,ICICI,timeout,temporary,0,2,1,0,0,41.0,0.88,42000,23,3,0,0
opp_gen_0000074,pay_gen_0000389,2026-01-01T13:54:00.616603+00:00,1054848,upi,KOTAK,card_blocked,instrument,0,1,0,0,0,24.0,0.88,42000,13,3,0,0
opp_gen_0000075,pay_gen_0000390,2026-01-01T14:42:04.651632+00:00,1094431,wallet,amazonpay,timeout,temporary,0,1,0,0,0,2.1,0.84,21000,14,3,0,0
opp_gen_0000076,pay_gen_0000394,2026-01-01T16:32:47.503691+00:00,54699,netbanking,AXIS,gateway_error,temporary,0,1,0,0,0,33.8,0.84,21000,16,3,0,0
opp_gen_0000077,pay_gen_0000398,2026-01-01T06:15:56.604137+00:00,252734,netbanking,AXIS,authentication_required,auth,0,1,0,0,0,10.9,0.88,42000,6,3,0,1
opp_gen_0000078,pay_gen_0000408,2026-01-01T00:39:29.735926+00:00,37655,netbanking,HDFC,timeout,temporary,0,1,0,0,0,11.5,0.88,42000,0,3,0,1
opp_gen_0000079,pay_gen_0000410,2026-01-01T05:54:56.052958+00:00,253470,wallet,amazonpay,authentication_required,auth,0,1,0,0,0,37.9,0.84,21000,5,3,0,1
opp_gen_0000080,pay_gen_0000412,2026-01-01T00:58:20.857088+00:00,505976,upi,HDFC,processing_error,temporary,0,2,1,0,0,35.3,0.88,42000,0,3,0,1
opp_gen_0000081,pay_gen_0000417,2026-01-01T12:54:56.867530+00:00,2777010,card,AXIS,card_insufficient_funds,insufficient_funds,0,1,0,0,0,13.9,0.84,21000,12,3,1,0
opp_gen_0000082,pay_gen_0000420,2026-01-01T22:13:54.923916+00:00,924538,netbanking,HDFC,insufficient_funds,insufficient_funds,0,1,0,0,0,6.9,0.91,9000,22,3,0,0
opp_gen_0000083,pay_gen_0000430,2026-01-01T01:34:32.509058+00:00,273054,wallet,freecharge,gateway_error,temporary,0,1,0,0,0,36.5,0.84,21000,1,3,0,0
opp_gen_0000084,pay_gen_0000434,2026-01-01T02:46:08.530769+00:00,37540,upi,AXIS,invalid_vpa,instrument,0,1,0,0,0,14.1,0.88,42000,2,3,0,0
opp_gen_0000085,pay_gen_0000435,2026-01-01T05:18:08.775242+00:00,206308,netbanking,AXIS,invalid_vpa,instrument,0,1,0,0,0,15.1,0.91,9000,5,3,0,0
opp_gen_0000086,pay_gen_0000441,2026-01-01T02:24:04.698473+00:00,899725,upi,SBI,gateway_error,temporary,0,1,0,0,0,20.1,0.84,21000,2,3,0,0
opp_gen_0000087,pay_gen_0000443,2026-01-01T12:16:51.462348+00:00,1222202,upi,HDFC,invalid_vpa,instrument,0,1,0,0,0,26.9,0.84,21000,12,3,0,1
opp_gen_0000088,pay_gen_0000465,2026-01-01T01:31:57.164140+00:00,155213,card,KOTAK,timeout,temporary,0,1,0,0,0,7.0,0.91,9000,1,3,0,0
opp_gen_0000089,pay_gen_0000473,2026-01-01T00:16:09.988877+00:00,65004,card,KOTAK,processing_error,temporary,0,1,0,0,0,8.2,0.91,9000,0,3,0,1
opp_gen_0000090,pay_gen_0000474,2026-01-01T11:15:30.171060+00:00,77075,upi,ICICI,invalid_vpa,instrument,0,1,0,0,0,18.5,0.88,42000,11,3,0,1
opp_gen_0000091,pay_gen_0000483,2026-01-01T12:41:51.768396+00:00,99188,card,AXIS,user_authentication_failed,auth,0,1,0,0,0,43.9,0.84,21000,12,3,0,0
opp_gen_0000092,pay_gen_0000486,2026-01-01T14:41:22.723666+00:00,262278,netbanking,ICICI,gateway_error,temporary,0,1,0,0,0,18.4,0.88,42000,14,3,0,1
opp_gen_0000093,pay_gen_0000487,2026-01-01T12:32:10.974145+00:00,105976,netbanking,AXIS,processing_error,temporary,0,1,0,0,0,11.2,0.91,9000,12,3,1,0
opp_gen_0000094,pay_gen_0000490,2026-01-01T07:30:11.951219+00:00,83041,upi,AXIS,card_blocked,instrument,0,1,0,0,0,42.2,0.84,21000,7,3,0,0
opp_gen_0000095,pay_gen_0000493,2026-01-01T10:57:43.104097+00:00,97474,netbanking,AXIS,gateway_error,temporary,0,1,0,0,0,16.7,0.88,42000,10,3,1,0
opp_gen_0000096,pay_gen_0000501,2026-01-01T10:47:03.991301+00:00,204889,upi,KOTAK,timeout,temporary,0,1,0,0,0,36.1,0.88,42000,10,3,0,1
opp_gen_0000097,pay_gen_0000502,2026-01-01T16:18:15.599119+00:00,203839,netbanking,AXIS,gateway_error,temporary,0,1,0,0,0,21.3,0.84,21000,16,3,0,0
opp_gen_0000098,pay_gen_0000503,2026-01-01T20:07:22.959163+00:00,126491,netbanking,SBI,gateway_error,temporary,0,1,0,0,0,31.4,0.84,21000,20,3,0,0
opp_gen_0000099,pay_gen_0000506,2026-01-01T11:06:18.829516+00:00,149920,card,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,4.3,0.88,42000,11,3,0,0
opp_gen_0000100,pay_gen_0000508,2026-01-01T07:25:12.306857+00:00,255193,card,KOTAK,invalid_vpa,instrument,0,1,0,0,0,37.2,0.91,9000,7,3,0,0
opp_gen_0000101,pay_gen_0000512,2026-01-01T06:25:11.426412+00:00,215373,card,KOTAK,authentication_required,auth,0,1,0,0,0,2.2,0.88,42000,6,3,0,1
opp_gen_0000102,pay_gen_0000520,2026-01-01T22:59:47.051874+00:00,89063,card,HDFC,insufficient_funds,insufficient_funds,0,1,0,0,0,27.8,0.91,9000,22,3,1,0
opp_gen_0000103,pay_gen_0000524,2026-01-01T18:25:00.783849+00:00,35837,upi,HDFC,insufficient_funds,insufficient_funds,0,1,0,0,0,19.0,0.84,21000,18,3,0,1
opp_gen_0000104,pay_gen_0000528,2026-01-01T06:13:08.986762+00:00,571499,upi,AXIS,user_authentication_failed,auth,0,1,0,0,0,17.1,0.88,42000,6,3,0,0
opp_gen_0000105,pay_gen_0000538,2026-01-01T23:29:31.339488+00:00,83407,upi,AXIS,network_error,temporary,0,1,0,0,0,6.5,0.88,42000,23,3,0,0
opp_gen_0000106,pay_gen_0000550,2026-01-01T09:54:23.198159+00:00,224308,netbanking,HDFC,network_error,temporary,0,1,0,0,0,37.4,0.91,9000,9,3,0,1
opp_gen_0000107,pay_gen_0000562,2026-01-01T06:26:04.471741+00:00,1406085,card,AXIS,processing_error,temporary,1,1,0,0,0,15.1,0.84,21000,6,3,0,0
opp_gen_0000108,pay_gen_0000563,2026-01-01T06:50:56.332302+00:00,46250,card,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,25.9,0.84,21000,6,3,0,1
opp_gen_0000109,pay_gen_0000571,2026-01-01T07:47:07.898020+00:00,101251,netbanking,HDFC,user_authentication_failed,auth,0,2,1,0,0,36.1,0.91,9000,7,3,0,0
opp_gen_0000110,pay_gen_0000572,2026-01-01T17:19:55.297086+00:00,180980,upi,ICICI,timeout,temporary,0,1,0,0,0,12.9,0.88,42000,17,3,1,0
opp_gen_0000111,pay_gen_0000583,2026-01-01T21:16:23.841925+00:00,4046668,upi,SBI,insufficient_funds,insufficient_funds,0,2,1,0,0,30.4,0.88,42000,21,3,0,0
opp_gen_0000112,pay_gen_0000601,2026-01-01T17:23:36.700599+00:00,883773,netbanking,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,8.6,0.88,42000,17,3,0,1
opp_gen_0000113,pay_gen_0000604,2026-01-01T15:27:22.903669+00:00,246917,wallet,PPI,authentication_required,auth,0,1,0,0,0,12.4,0.84,21000,15,3,0,0
opp_gen_0000114,pay_gen_0000605,2026-01-01T03:42:33.295254+00:00,71474,netbanking,SBI,insufficient_funds,insufficient_funds,0,1,0,0,0,5.6,0.88,42000,3,3,0,0
opp_gen_0000115,pay_gen_0000610,2026-01-01T17:56:28.122530+00:00,370738,card,AXIS,invalid_vpa,instrument,0,1,0,0,0,33.5,0.88,42000,17,3,0,0
opp_gen_0000116,pay_gen_0000611,2026-01-01T18:16:54.221010+00:00,58212,netbanking,HDFC,processing_error,temporary,0,1,0,0,0,25.9,0.84,21000,18,3,0,0
opp_gen_0000117,pay_gen_0000613,2026-01-01T21:52:46.369727+00:00,92909,netbanking,ICICI,user_authentication_failed,auth,0,1,0,0,0,7.8,0.91,9000,21,3,0,0
opp_gen_0000118,pay_gen_0000614,2026-01-01T05:55:04.923486+00:00,1773831,upi,KOTAK,insufficient_funds,insufficient_funds,0,1,0,0,0,3.1,0.88,42000,5,3,0,0
opp_gen_0000119,pay_gen_0000617,2026-01-01T07:16:04.626793+00:00,822668,upi,AXIS,insufficient_funds,insufficient_funds,0,3,2,0,0,30.1,0.88,42000,7,3,0,1
opp_gen_0000120,pay_gen_0000621,2026-01-01T10:46:23.410999+00:00,211018,upi,SBI,gateway_error,temporary,0,2,1,0,0,36.4,0.84,21000,10,3,0,0
opp_gen_0000121,pay_gen_0000626,2026-01-01T14:21:54.551036+00:00,62482,netbanking,SBI,processing_error,temporary,0,1,0,0,0,3.9,0.88,42000,14,3,0,1
opp_gen_0000122,pay_gen_0000627,2026-01-01T12:36:59.702034+00:00,801912,card,KOTAK,card_insufficient_funds,insufficient_funds,0,2,1,0,0,16.0,0.88,42000,12,3,0,1
opp_gen_0000123,pay_gen_0000635,2026-01-01T18:34:27.753764+00:00,983437,netbanking,SBI,processing_error,temporary,0,1,0,0,0,23.5,0.84,21000,18,3,0,1
opp_gen_0000124,pay_gen_0000636,2026-01-01T18:02:03.352621+00:00,110084,netbanking,AXIS,user_authentication_failed,auth,0,1,0,0,0,33.1,0.84,21000,18,3,0,0
opp_gen_0000125,pay_gen_0000643,2026-01-01T02:24:52.518395+00:00,402857,card,AXIS,processing_error,temporary,0,1,0,0,0,22.9,0.91,9000,2,3,0,0
opp_gen_0000126,pay_gen_0000651,2026-01-01T14:53:20.434992+00:00,78231,netbanking,AXIS,network_error,temporary,0,1,0,0,0,43.3,0.84,21000,14,3,0,1
opp_gen_0000127,pay_gen_0000656,2026-01-01T02:17:12.629652+00:00,115151,upi,AXIS,card_insufficient_funds,insufficient_funds,0,1,0,0,0,20.2,0.84,21000,2,3,0,0
opp_gen_0000128,pay_gen_0000657,2026-01-01T08:17:49.981436+00:00,288101,netbanking,SBI,timeout,temporary,0,1,0,0,0,36.8,0.84,21000,8,3,0,0
opp_gen_0000129,pay_gen_0000676,2026-01-02T03:41:31.130996+00:00,207445,upi,KOTAK,insufficient_funds,insufficient_funds,1,1,0,0,0,15.5,0.88,42000,3,4,0,1
opp_gen_0000130,pay_gen_0000686,2026-01-02T23:02:55.817454+00:00,204275,card,HDFC,card_expired,instrument,0,1,0,0,0,30.9,0.91,9000,23,4,0,1
opp_gen_0000131,pay_gen_0000698,2026-01-02T03:43:45.139620+00:00,452390,card,SBI,gateway_error,temporary,0,1,0,0,0,27.8,0.84,21000,3,4,0,0
opp_gen_0000132,pay_gen_0000709,2026-01-02T15:12:02.512027+00:00,56383,netbanking,AXIS,card_blocked,instrument,0,1,0,0,0,39.0,0.88,42000,15,4,1,0
opp_gen_0000133,pay_gen_0000710,2026-01-02T00:23:31.549493+00:00,94923,netbanking,HDFC,card_insufficient_funds,insufficient_funds,0,1,0,0,0,20.5,0.88,42000,0,4,1,0
opp_gen_0000134,pay_gen_0000714,2026-01-02T00:59:26.124632+00:00,138490,card,KOTAK,network_error,temporary,0,1,0,0,0,16.4,0.88,42000,0,4,0,0
opp_gen_0000135,pay_gen_0000715,2026-01-02T12:15:45.303775+00:00,961528,card,KOTAK,authentication_required,auth,0,1,0,0,0,17.8,0.84,21000,12,4,0,1
opp_gen_0000136,pay_gen_0000721,2026-01-02T04:30:15.453379+00:00,153175,upi,KOTAK,insufficient_funds,insufficient_funds,0,2,1,0,0,38.3,0.91,9000,4,4,0,1
opp_gen_0000137,pay_gen_0000729,2026-01-02T07:18:38.451595+00:00,51806,netbanking,SBI,network_error,temporary,0,1,0,0,0,11.6,0.88,42000,7,4,0,0
opp_gen_0000138,pay_gen_0000732,2026-01-02T02:07:37.142738+00:00,86716,upi,KOTAK,card_insufficient_funds,insufficient_funds,0,1,0,0,0,22.6,0.88,42000,2,4,0,0
opp_gen_0000139,pay_gen_0000739,2026-01-02T23:39:12.072735+00:00,58844,upi,KOTAK,card_insufficient_funds,insufficient_funds,0,1,0,0,0,17.2,0.88,42000,23,4,0,0
opp_gen_0000140,pay_gen_0000740,2026-01-02T02:21:04.361840+00:00,109329,upi,ICICI,processing_error,temporary,0,1,0,0,0,42.1,0.88,42000,2,4,0,0
opp_gen_0000141,pay_gen_0000754,2026-01-02T21:33:41.123774+00:00,4126343,upi,SBI,timeout,temporary,0,1,0,0,0,31.7,0.88,42000,21,4,0,1
opp_gen_0000142,pay_gen_0000763,2026-01-02T08:49:26.684286+00:00,120155,card,HDFC,network_error,temporary,0,1,0,0,0,37.4,0.91,9000,8,4,1,0
opp_gen_0000143,pay_gen_0000765,2026-01-02T18:51:52.000326+00:00,41430,card,KOTAK,authentication_required,auth,0,1,0,0,0,13.9,0.91,9000,18,4,0,0
opp_gen_0000144,pay_gen_0000767,2026-01-02T15:36:36.074013+00:00,1091101,card,HDFC,timeout,temporary,0,1,0,0,0,2.6,0.88,42000,15,4,0,1
opp_gen_0000145,pay_gen_0000769,2026-01-02T12:51:26.214734+00:00,165465,card,AXIS,timeout,temporary,0,1,0,0,0,10.4,0.91,9000,12,4,0,1
opp_gen_0000146,pay_gen_0000779,2026-01-02T14:42:33.517118+00:00,98698,upi,AXIS,processing_error,temporary,0,1,0,0,0,22.6,0.88,42000,14,4,0,0
opp_gen_0000147,pay_gen_0000780,2026-01-02T17:31:52.241224+00:00,75953,netbanking,AXIS,authentication_required,auth,0,1,0,0,0,38.9,0.84,21000,17,4,0,0
opp_gen_0000148,pay_gen_0000796,2026-01-03T00:02:22.331634+00:00,44664,card,HDFC,gateway_error,temporary,0,1,0,0,0,40.4,0.88,42000,0,5,0,1
opp_gen_0000149,pay_gen_0000806,2026-01-02T18:36:09.831931+00:00,135627,card,HDFC,gateway_error,temporary,0,1,0,0,0,25.2,0.84,21000,18,4,0,0
